Look up table showing relationship of Lower Super Output Areas (LSOAs) to Wards*,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
LSOA CODE,LSOA name,Ward code,WARD *,Local Authority,,,,,,,,,,,,
E01030539,Mole Valley 005A,E05007320,Fetcham East,Mole Valley,,,,,,,,,,,,
E01030540,Mole Valley 005B,E05007320,Fetcham East,Mole Valley,,,,,,,,,,,,
E01030541,Mole Valley 005C,E05007321,Fetcham West,Mole Valley,,,,,,,,,,,,
E01030542,Mole Valley 005D,E05007321,Fetcham West,Mole Valley,,,,,,,,,,,,
E01030543,Mole Valley 005E,E05007321,Fetcham West,Mole Valley,,,,,,,,,,,,
E01030516,Mole Valley 006A,E05007312,Bookham North,Mole Valley,,,,,,,,,,,,
E01030517,Mole Valley 006B,E05007312,Bookham North,Mole Valley,,,,,,,,,,,,
E01030518,Mole Valley 006C,E05007312,Bookham North,Mole Valley,,,,,,,,,,,,
E01030519,Mole Valley 006D,E05007312,Bookham North,Mole Valley,,,,,,,,,,,,
E01030520,Mole Valley 007A,E05007313,Bookham South,Mole Valley,,,,,,,,,,,,
E01030521,Mole Valley 007B,E05007313,Bookham South,Mole Valley,,,,,,,,,,,,
E01030522,Mole Valley 007C,E05007313,Bookham South,Mole Valley,,,,,,,,,,,,
E01030523,Mole Valley 007D,E05007313,Bookham South,Mole Valley,,,,,,,,,,,,
E01030524,Mole Valley 008A,E05007314,Box Hill and Headley,Mole Valley,,,,,,,,,,,,
E01030525,Mole Valley 008B,E05007315,Brockham Betchworth and Buckland,Mole Valley,,,,,,,,,,,,
E01030526,Mole Valley 008C,E05007315,Brockham Betchworth and Buckland,Mole Valley,,,,,,,,,,,,
E01030527,Mole Valley 008D,E05007315,Brockham Betchworth and Buckland,Mole Valley,,,,,,,,,,,,
E01030532,Mole Valley 009A,E05007318,Dorking North,Mole Valley,,,,,,,,,,,,
E01030533,Mole Valley 009B,E05007318,Dorking North,Mole Valley,,,,,,,,,,,,
E01030534,Mole Valley 009C,E05007318,Dorking North,Mole Valley,,,,,,,,,,,,
E01030556,Mole Valley 009D,E05007326,Mickleham Westhumble and Pixham,Mole Valley,,,,,,,,,,,,
E01030535,Mole Valley 010A,E05007319,Dorking South,Mole Valley,,,,,,,,,,,,
E01030536,Mole Valley 010B,E05007319,Dorking South,Mole Valley,,,,,,,,,,,,
E01030537,Mole Valley 010C,E05007319,Dorking South,Mole Valley,,,,,,,,,,,,
E01030538,Mole Valley 010D,E05007319,Dorking South,Mole Valley,,,,,,,,,,,,
E01030544,Mole Valley 011A,E05007322,Holmwoods,Mole Valley,,,,,,,,,,,,
E01030545,Mole Valley 011B,E05007322,Holmwoods,Mole Valley,,,,,,,,,,,,
E01030546,Mole Valley 011C,E05007322,Holmwoods,Mole Valley,,,,,,,,,,,,
E01030547,Mole Valley 011D,E05007322,Holmwoods,Mole Valley,,,,,,,,,,,,
E01030529,Mole Valley 012A,E05007316,Capel Leigh and Newdigate,Mole Valley,,,,,,,,,,,,
E01030555,Mole Valley 012B,E05007325,Leith Hill,Mole Valley,,,,,,,,,,,,
E01030557,Mole Valley 012C,E05007327,Okewood,Mole Valley,,,,,,,,,,,,
E01030558,Mole Valley 012D,E05007328,Westcott,Mole Valley,,,,,,,,,,,,
E01030515,Mole Valley 013A,E05007311,Beare Green,Mole Valley,,,,,,,,,,,,
E01030528,Mole Valley 013B,E05007316,Capel Leigh and Newdigate,Mole Valley,,,,,,,,,,,,
E01030530,Mole Valley 013C,E05007316,Capel Leigh and Newdigate,Mole Valley,,,,,,,,,,,,
E01030531,Mole Valley 013D,E05007317,Charlwood,Mole Valley,,,,,,,,,,,,
E01030603,Reigate and Banstead 001A,E05007338,Nork,Reigate and Banstead,,,,,,,,,,,,
E01030604,Reigate and Banstead 001B,E05007338,Nork,Reigate and Banstead,,,,,,,,,,,,
E01030605,Reigate and Banstead 001C,E05007338,Nork,Reigate and Banstead,,,,,,,,,,,,
E01030607,Reigate and Banstead 001D,E05007338,Nork,Reigate and Banstead,,,,,,,,,,,,
E01030559,Reigate and Banstead 002A,E05007329,Banstead Village,Reigate and Banstead,,,,,,,,,,,,
E01030560,Reigate and Banstead 002B,E05007329,Banstead Village,Reigate and Banstead,,,,,,,,,,,,
E01030561,Reigate and Banstead 002C,E05007329,Banstead Village,Reigate and Banstead,,,,,,,,,,,,
E01030562,Reigate and Banstead 002D,E05007329,Banstead Village,Reigate and Banstead,,,,,,,,,,,,
E01030563,Reigate and Banstead 002E,E05007329,Banstead Village,Reigate and Banstead,,,,,,,,,,,,
E01030564,Reigate and Banstead 002F,E05007329,Banstead Village,Reigate and Banstead,,,,,,,,,,,,
E01030606,Reigate and Banstead 003A,E05007338,Nork,Reigate and Banstead,,,,,,,,,,,,
E01030641,Reigate and Banstead 003B,E05007347,Tattenhams,Reigate and Banstead,,,,,,,,,,,,
E01030642,Reigate and Banstead 003C,E05007347,Tattenhams,Reigate and Banstead,,,,,,,,,,,,
E01030644,Reigate and Banstead 003D,E05007347,Tattenhams,Reigate and Banstead,,,,,,,,,,,,
E01030565,Reigate and Banstead 004A,E05007330,Chipstead Hooley and Woodmansterne,Reigate and Banstead,,,,,,,,,,,,
E01030566,Reigate and Banstead 004B,E05007330,Chipstead Hooley and Woodmansterne,Reigate and Banstead,,,,,,,,,,,,
E01030567,Reigate and Banstead 004C,E05007330,Chipstead Hooley and Woodmansterne,Reigate and Banstead,,,,,,,,,,,,
E01030568,Reigate and Banstead 004D,E05007330,Chipstead Hooley and Woodmansterne,Reigate and Banstead,,,,,,,,,,,,
E01030569,Reigate and Banstead 004E,E05007330,Chipstead Hooley and Woodmansterne,Reigate and Banstead,,,,,,,,,,,,
E01030608,Reigate and Banstead 005A,E05007339,Preston,Reigate and Banstead,,,,,,,,,,,,
